Genes	9x2	6x2	7x2	8x2	10x3	6x3	8x3	9x3	8x4	10x4	9x4	10x5	8x5	9x5	10x6	12x6	8x6	9x6	11x6	10x7	12x7	7x7	8x7	13x7	9x7	11x7	15x8	7x8	8x8	9x8	10x8	11x8	12x8	13x8	14x8	16x9	7x9	8x9	9x9	10x9	11x9	12x9	14x9	15x9	13x9	7x10	12x10	8x10	9x10	10x10	14x10	16x10	11x10	13x10	15x10	7x11	9x11	10x11	11x11	12x11	15x11	8x11	13x11	16x11	17x11	14x11	12x12	7x12	8x12	9x12	10x12	11x12	14x12	15x12	18x12	13x12	16x12	17x12	8x13	11x13	12x13	16x13	7x13	9x13	10x13	14x13	15x13	13x13	18x13	19x13	20x13	10x14	12x14	7x14	8x14	9x14	11x14	14x14	15x14	16x14	17x14	18x14	13x14	21x14	20x14	19x14	7x15	11x15	12x15	8x15	9x15	10x15	13x15	15x15	16x15	17x15	18x15	14x15	22x15	19x15	20x15	21x15	7x16	8x16	10x16	11x16	12x16	14x16	17x16	9x16	13x16	15x16	16x16	18x16	23x16	19x16	20x16	21x16	22x16	24x16	7x17	10x17	8x17	9x17	11x17	12x17	14x17	18x17	13x17	15x17	16x17	17x17	25x17	26x17	19x17	20x17	21x17	22x17	23x17	24x17	7x18	10x18	9x18	11x18	12x18	13x18	14x18	15x18	16x18	18x18	8x18	17x18	20x18	21x18	22x18	25x18	27x18	19x18	23x18	24x18	26x18	28x18	10x19	11x19	12x19	8x19	9x19	13x19	17x19	18x19	14x19	15x19	16x19	20x19	23x19	25x19	26x19	27x19	21x19	22x19	24x19	28x19	29x19	19x19	10x20	11x20	12x20	18x20	9x20	13x20	14x20	15x20	16x20	17x20	19x20	26x20	27x20	20x20	21x20	22x20	23x20	24x20	25x20	10x21	11x21	12x21	13x21	16x21	14x21	15x21	18x21	7x21	17x21	26x21	19x21	20x21	21x21	23x21	24x21	25x21	22x21	8x22	11x22	12x22	13x22	15x22	16x22	7x22	14x22	18x22	6x22	25x22	17x22	19x22	21x22	22x22	23x22	24x22	20x22	9x23	10x23	16x23	7x23	8x23	13x23	14x23	15x23	17x23	18x23	6x23	5x23	19x23	21x23	22x23	24x23	20x23	23x23	4x24	7x24	10x24	15x24	16x24	8x24	14x24	17x24	18x24	5x24	9x24	6x24	23x24	19x24	20x24	21x24	22x24	7x25	16x25	18x25	8x25	9x25	15x25	3x25	5x25	6x25	17x25	4x25	19x25	20x25	21x25	22x25	10x26	3x26	4x26	7x26	8x26	9x26	11x26	16x26	17x26	18x26	6x26	2x26	5x26	19x26	3x27	7x27	9x27	10x27	11x27	2x27	4x27	6x27	8x27	5x27	3x28	10x28	4x28	7x28	8x28	11x28	5x28	6x28	9x28	7x29	9x29	10x29	5x29	8x29	11x29	7x30	9x30	10x30	8x30	11x30	10x31	9x31	8x31	11x31	9x32	11x32
CSNK2A3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSNK2B	0	0	0	1	0	0	0	1	0	0	0	2	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0	0	0	0	1	0	1	0	0	0	2	0	4	1	0	0	0	0	1	1	0	2	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	2	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	2	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	2	0	0	1	0	1	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	2	1	0	0	0
CSPG4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSPG5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSPP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSRNP1	2	1	1	0	1	0	0	1	2	1	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	2	1	0	0	0	0	0	0	3	0	0	1	0	0	0	2	1	1	3	1	1	0	0	1	0	3	0	0	0	2	1	0	1	1	0	5	0	0	2	1	2	2	0	0	0	1	3	0	5	0	2	1	0	1	3	4	3	0	0	5	0	2	0	1	0	0	0	3	0	3	0	0	0	3	0	0	0	3	2	1	0	0	2	4	0	0	1	3	5	8	4	0	5	2	1	1	3	0	0	0	1	2	1	3	0	6	3	0	0	1	1	3	0	0	2	0	2	1	2	3	1	0	2	3	2	1	5	0	2	1	4	2	0	2	2	0	1	1	2	4	1	1	3	0	0	0	1	1	0	2	0	0	1	2	4	0	0	0	0	2	1	5	2	3	5	0	1	2	1	0	1	0	1	1	1	0	3	0	1	0	0	2	3	0	3	3	1	1	5	2	1	0	5	1	0	1	1	1	0	4	4	0	1	0	4	0	0	2	2	2	2	0	2	1	1	1	0	1	1	0	1	1	0	0	0	2	0	1	0	2	0	3	1	2	0	1	0	1	0	0	1	0	0	3	0	0	0	1	0	1	1	0	2	2	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	1	1	0	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	0	1	1	1	1	0	0	1	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	7	2	3
CSRNP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0
CSRNP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CSRP1	4	0	1	0	1	2	0	1	2	0	0	1	2	0	0	0	0	0	1	0	4	1	1	0	2	0	0	0	0	0	1	0	0	0	1	1	0	0	3	0	0	2	1	0	2	0	1	0	1	0	0	1	0	0	2	1	0	1	2	0	1	0	3	1	0	0	1	1	0	0	0	3	2	7	0	0	0	0	2	1	1	2	0	2	1	2	1	1	0	0	0	4	1	0	2	2	0	0	4	3	1	0	2	0	4	0	0	0	4	0	3	1	1	3	0	0	0	2	1	2	0	0	0	0	0	1	0	1	1	0	1	3	0	1	0	1	1	0	1	0	0	0	1	5	4	2	2	0	1	3	2	1	0	0	1	0	2	0	0	0	1	1	0	3	1	3	7	2	0	1	0	0	0	0	2	0	0	2	0	1	0	0	0	0	1	2	0	0	3	3	0	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	2	1	2	1	1	1	0	0	3	1	0	2	0	1	1	0	0	1	2	0	2	3	1	2	0	5	3	0	0	0	1	0	1	3	1	0	0	2	1	3	1	0	0	0	0	1	0	1	2	1	2	0	3	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	2	1	0	0	0	1	0	0	0	3	0	0	0	0	2	0	0	0	0	1	1	0	1	0	0	2	0	1	0	0	0	1	0	1	0	1	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	2	1	0	2	1	2	1	0	1	1	0	0	2	1	1	1	0	0	2	0	0	0	1	1	0
CSRP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
CSRP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CST1	0	0	1	1	2	0	0	3	0	0	0	0	0	1	0	1	0	1	1	2	0	1	1	0	1	0	0	0	1	2	2	2	1	0	0	1	2	1	0	0	1	1	4	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0	0	3	1	1	0	0	0	2	0	0	0	1	0	3	4	0	2	0	0	0	0	4	1	0	1	2	0	1	7	0	0	0	0	0	1	0	0	0	1	2	0	2	0	1	1	0	0	1	1	0	2	0	0	1	0	0	1	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	1	2	3	0	0	0	10	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	0	1	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	3	0	2	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	2	1	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	2	0	0	0	0	3	2	0	1	0	1	0	0	0	0	0	0	0	2	0	1	0	1	2	4	0	1	0	3	3
CST11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CST2	0	0	1	0	2	0	1	2	1	0	0	0	0	1	1	0	0	2	1	1	0	1	0	1	1	0	0	0	0	1	1	2	0	0	0	1	1	0	0	0	1	0	4	3	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	2	3	0	2	0	0	0	0	3	1	0	1	1	0	0	6	0	0	0	0	1	1	0	0	0	0	1	0	1	0	1	2	0	0	0	2	0	1	0	0	0	0	0	2	0	0	5	1	0	0	0	0	0	1	0	0	0	1	0	2	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	7	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	3	2	0	1	0	0	2	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	2	1	0	1	0	3	1
CST3	4	14	14	8	6	3	12	7	8	13	24	22	3	19	9	24	7	11	14	19	12	5	12	10	18	6	5	5	14	10	22	20	34	27	27	5	8	7	11	11	54	35	20	22	30	9	32	3	13	16	18	3	39	11	19	5	6	22	14	14	55	9	8	24	5	46	31	6	6	8	9	53	28	64	7	24	28	9	3	24	25	39	0	10	23	14	30	16	3	2	7	22	38	5	11	9	13	22	60	28	13	9	49	3	13	2	2	30	39	20	13	14	33	86	45	20	10	62	15	8	37	18	5	7	18	28	42	41	12	21	25	53	29	14	3	3	10	4	6	4	7	21	31	104	28	22	39	20	21	32	18	16	1	17	17	30	26	6	3	2	19	40	43	29	19	36	94	44	54	34	18	17	7	4	11	3	13	20	22	8	8	8	20	26	24	32	64	31	50	51	38	21	14	15	11	9	13	15	19	7	7	8	3	71	9	13	37	15	15	72	33	83	9	5	24	16	15	49	38	3	9	9	11	7	15	14	21	13	26	17	12	19	35	11	18	22	5	12	7	5	10	20	8	12	12	7	12	10	8	10	16	8	33	3	10	8	7	5	20	21	15	12	11	17	8	16	10	25	10	17	21	0	4	5	2	6	5	7	7	4	8	6	26	14	13	10	10	13	3	2	4	18	7	1	2	5	6	23	15	8	6	9	9	19	3	7	8	7	2	24	8	12	17	25	12	9	9	8	10	16	20	15	2	16	17	19	10	16	14	24	6	16	8	6	18	18	20	68	15	39	10	16	39	13	22	51	53	28	23	38	22	47	37	34	28	47	46	30	16
CST4	0	0	1	1	1	1	0	2	1	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	1	1	0	2	2	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	2	0	1	0	0	0	0	3	1	0	1	1	0	0	5	0	0	1	1	1	0	0	0	0	0	1	0	1	1	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	8	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	2	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	3
CST5	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	2	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	1	0	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	2	1	0	0	1	0	0	0	0	1	1	0	0	2	1	0	0	1	0	0	2	4	1	0
